latitude,longitude,data,bright_ti4,bright_ti5,frp,scan,track,confidence_num,daynight_num,fonte,classe,data_original,ano,mes,dia,dia_do_ano,risco_fogo,diferenca_brilho,temperatura,umidade,vento,chuva
-14.80150538987435,-60.60782139135358,2025-03-05,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-03-05,2025,3,5,64,0.0,0.0,,,,
-5.795537352130086,-59.34968307280401,2026-01-28,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2026-01-28,2026,1,28,28,0.0,0.0,,,,
-22.48519,-62.18702,2026-06-05,306.4,288.68,1.6,0.39,0.59,60,0,NASA_FIRMS,queimada,2026-06-05,2026,6,5,156,18384.0,17.71999999999997,,,,
-18.32835,-51.07087,2026-06-02,335.4,301.64,2.68,0.45,0.63,60,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,20124.0,33.75999999999999,,,,
-15.64353,-60.24892,2026-06-03,338.47,305.53,4.93,0.42,0.37,60,1,NASA_FIRMS,queimada,2026-06-03,2026,6,3,154,20308.2,32.940000000000055,,,,
24.9887296,121.5601729,2025-10-20,0.0,0.0,0.0,0.0,0.0,0,0,NASA_EONET,enchente,2025-10-20T20:00:00Z,2025,10,20,293,0.0,0.0,,,,
-8.133740268738492,-64.24876127196791,2025-07-13,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-07-13,2025,7,13,194,0.0,0.0,,,,
41.5089037,20.9585155,2026-01-05,0.0,0.0,0.0,0.0,0.0,0,0,NASA_EONET,enchente,2026-01-05T20:00:00Z,2026,1,5,5,0.0,0.0,,,,
-29.65880435569916,-65.16176779607018,2024-10-29,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2024-10-29,2024,10,29,303,0.0,0.0,,,,
-9.36863,-50.54344,2026-06-04,301.68,289.01,0.5,0.41,0.37,60,0,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,18100.8,12.670000000000016,,,,
41.5217301,23.31601,2026-01-25,0.0,0.0,0.0,0.0,0.0,0,0,NASA_EONET,enchente,2026-01-25T20:00:00Z,2026,1,25,25,0.0,0.0,,,,
-19.540990127374105,-37.81072449815582,2025-06-09,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-06-09,2025,6,9,160,0.0,0.0,,,,
22.3463347,106.8507445,2025-10-06,0.0,0.0,0.0,0.0,0.0,0,0,NASA_EONET,enchente,2025-10-06T20:00:00Z,2025,10,6,279,0.0,0.0,,,,
-21.59042779409731,-59.35486015025356,2024-07-04,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2024-07-04,2024,7,4,186,0.0,0.0,,,,
-26.28497,-56.44467,2026-06-04,333.63,295.48,2.55,0.4,0.44,60,1,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,20017.8,38.14999999999998,,,,
-29.655060727410422,-42.00042505269595,2025-09-27,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-09-27,2025,9,27,270,0.0,0.0,,,,
-1.4840916974445475,-70.13791707958461,2024-12-09,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2024-12-09,2024,12,9,344,0.0,0.0,,,,
11.6614957,108.1335279,2025-12-02,0.0,0.0,0.0,0.0,0.0,0,0,NASA_EONET,enchente,2025-12-02T20:00:00Z,2025,12,2,336,0.0,0.0,,,,
3.30084,-72.10541,2026-06-03,327.4,280.36,4.88,0.4,0.6,60,1,NASA_FIRMS,queimada,2026-06-03,2026,6,3,154,19644.0,47.039999999999964,,,,
-30.7324,-60.13688,2026-06-02,336.41,288.42,22.62,0.39,0.36,60,1,NASA_FIRMS,queimada,2026-06-02,2026,6,2,153,20184.600000000002,47.99000000000001,,,,
5.389439217553722,-52.03620895711097,2025-06-19,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-06-19,2025,6,19,170,0.0,0.0,,,,
-33.52668994043147,-64.72189707680026,2026-11-15,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2026-11-15,2026,11,15,319,0.0,0.0,,,,
-31.880746660448253,-48.37356059869502,2026-04-14,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2026-04-14,2026,4,14,104,0.0,0.0,,,,
-17.2066659841708,-35.87236680360034,2026-07-12,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2026-07-12,2026,7,12,193,0.0,0.0,,,,
-32.78883674857576,-34.806969758389826,2025-05-20,0.0,0.0,0.0,0.0,0.0,0,0,GERADO,normal,2025-05-20,2025,5,20,140,0.0,0.0,,,,
-16.82796,-60.93972,2026-06-04,300.84,288.29,0.71,0.41,0.61,60,0,NASA_FIRMS,queimada,2026-06-04,2026,6,4,155,18050.399999999998,12.549999999999955,,,,
